episode,step,return,length
807,281163,245.93,319
808,281430,285.33,267
809,281739,266.45,309
810,282099,247.94,360
811,282409,244.6,310
812,282647,38.68,238
813,282932,282.95,285
814,283274,256.21,342
815,283660,279.32,386
816,284068,254.6,408
817,284393,242.18,325
818,284759,255.99,366
819,285102,265.93,343
820,285361,19.51,259
821,285675,258.46,314
822,286010,251.4,335
823,286388,275.03,378
824,286771,297.21,383
825,287083,244.38,312
826,287332,13.08,249
827,287629,264.4,297
828,287908,268.98,279
829,288270,277.26,362
830,288594,245.61,324
831,288890,256.8,296
832,289221,258.06,331
833,289546,264.86,325
834,289858,295.33,312
835,290184,266.11,326
836,290491,260.26,307
837,290787,261.37,296
838,291096,217.48,309
839,291369,280.95,273
840,291981,212.89,612
841,292303,278.99,322
842,292673,277.65,370
843,292997,281.79,324
844,293300,260.2,303
845,293597,253.23,297
846,293937,252.96,340
847,294264,210.4,327
848,294598,272.56,334
849,294891,266.87,293
850,295165,284.08,274
851,295472,269.58,307
852,295723,16.89,251
853,296032,248.6,309
854,296358,264.84,326
855,296686,249.65,328
856,296974,266.79,288
857,297295,264.77,321
858,297587,264.73,292
859,297887,244.64,300
860,298227,263.04,340
861,298589,293.67,362
862,299347,197.8,758
863,299632,254.22,285
864,299923,280.04,291
865,300258,273.69,335
866,300593,275.27,335
867,300911,227.62,318
868,301241,252.54,330
869,301550,264.33,309
870,301864,242.59,314
871,302191,260.48,327
872,302460,273.63,269
873,302775,249.46,315
874,303037,304.1,262
875,303329,288.36,292
876,303642,270.72,313
877,303913,225.96,271
878,304171,282.04,258
879,304497,249.51,326
880,304844,247.01,347
881,305184,250.23,340
882,305577,257.0,393
883,305854,251.17,277
884,306144,241.54,290
885,306432,249.73,288
886,306736,222.48,304
887,307051,258.21,315
888,307394,273.81,343
889,307674,273.99,280
890,307959,248.03,285
891,308270,255.84,311
892,308577,258.27,307
893,308853,255.86,276
894,309148,264.18,295
895,309444,223.8,296
896,309861,277.27,417
897,310202,277.81,341
898,310490,270.4,288
899,310791,250.06,301
900,311077,268.83,286
901,311412,256.91,335
902,311695,292.46,283
903,311988,262.08,293
904,312216,6.3,228
905,312515,269.73,299
906,312811,267.63,296
907,313142,262.27,331
908,313418,286.08,276
909,313681,258.55,263
910,313975,250.0,294
911,314150,-9.95,175
912,314871,263.56,721
913,315181,252.63,310
914,315463,280.37,282
915,315723,251.84,260
916,316009,221.92,286
917,316300,243.99,291
918,316572,289.83,272
919,316877,267.31,305
920,317188,246.38,311
921,317492,280.35,304
922,318088,218.11,596
923,318411,261.36,323
924,318699,262.59,288
925,319109,282.12,410
926,319398,261.12,289
927,319690,259.33,292
928,319993,280.47,303
929,320331,278.95,338
930,320576,43.31,245
931,320876,240.45,300
932,321148,222.83,272
933,321463,238.66,315
934,321769,265.79,306
